year,control_point,hk_arrivals,hk_departures,net_out
2021,Express Rail Link West Kowloon,0,0,0
2021,Heung Yuen Wai,5235,5235,0
2021,Hong Kong-Zhuhai-Macao Bridge,46804,62262,15458
2021,Lo Wu,5090,5089,-1
2021,Lok Ma Chau,0,0,0
2021,Lok Ma Chau Spur Line,6978,6977,-1
2021,Man Kam To,0,0,0
2021,Shenzhen Bay,437481,301594,-135887
2022,Express Rail Link West Kowloon,0,0,0
2022,Heung Yuen Wai,301,0,-301
2022,Hong Kong-Zhuhai-Macao Bridge,55909,77657,21748
2022,Lo Wu,0,0,0
2022,Lok Ma Chau,0,0,0
2022,Lok Ma Chau Spur Line,0,0,0
2022,Man Kam To,0,0,0
2022,Shenzhen Bay,410380,329688,-80692
2023,Express Rail Link West Kowloon,4263638,4585496,321858
2023,Heung Yuen Wai,4554694,4799760,245066
2023,Hong Kong-Zhuhai-Macao Bridge,7092323,7136117,43794
2023,Lo Wu,17945038,17724070,-220968
2023,Lok Ma Chau,3493484,2692714,-800770
2023,Lok Ma Chau Spur Line,14660623,15495362,834739
2023,Man Kam To,387542,368375,-19167
2023,Shenzhen Bay,7716170,7607497,-108673
2024,Express Rail Link West Kowloon,6087140,6272001,184861
2024,Heung Yuen Wai,10305426,10519838,214412
2024,Hong Kong-Zhuhai-Macao Bridge,9335728,9381711,45983
2024,Lo Wu,26147662,25907612,-240050
2024,Lok Ma Chau,5141650,4006128,-1135522
2024,Lok Ma Chau Spur Line,20938467,22093845,1155378
2024,Man Kam To,564742,594574,29832
2024,Shenzhen Bay,12464687,12212286,-252401
2025,Express Rail Link West Kowloon,7225923,7243381,17458
2025,Heung Yuen Wai,11899980,12033743,133763
2025,Hong Kong-Zhuhai-Macao Bridge,10436653,10525764,89111
2025,Lo Wu,28830859,28730321,-100538
2025,Lok Ma Chau,5702686,4631600,-1071086
2025,Lok Ma Chau Spur Line,22148481,23438689,1290208
2025,Man Kam To,814348,849811,35463
2025,Shenzhen Bay,16369932,16141567,-228365
2026,Express Rail Link West Kowloon,2918011,2859651,-58360
2026,Heung Yuen Wai,4812142,4874809,62667
2026,Hong Kong-Zhuhai-Macao Bridge,4042095,4056905,14810
2026,Lo Wu,11017653,10890819,-126834
2026,Lok Ma Chau,2196107,1802392,-393715
2026,Lok Ma Chau Spur Line,8371837,8825630,453793
2026,Man Kam To,355536,363935,8399
2026,Shenzhen Bay,6880000,6705018,-174982
