year,control_point,hk_arrivals,hk_departures,net_out
2021,高鐵西九龍,0,0,0
2021,香園圍,5235,5235,0
2021,港珠澳大橋,46804,62262,15458
2021,羅湖,5090,5089,-1
2021,落馬洲,0,0,0
2021,落馬洲支線,6978,6977,-1
2021,文錦渡,0,0,0
2021,深圳灣,437481,301594,-135887
2022,高鐵西九龍,0,0,0
2022,香園圍,301,0,-301
2022,港珠澳大橋,55909,77657,21748
2022,羅湖,0,0,0
2022,落馬洲,0,0,0
2022,落馬洲支線,0,0,0
2022,文錦渡,0,0,0
2022,深圳灣,410380,329688,-80692
2023,高鐵西九龍,4263638,4585496,321858
2023,香園圍,4554694,4799760,245066
2023,港珠澳大橋,7092323,7136117,43794
2023,羅湖,17945038,17724070,-220968
2023,落馬洲,3493484,2692714,-800770
2023,落馬洲支線,14660623,15495362,834739
2023,文錦渡,387542,368375,-19167
2023,深圳灣,7716170,7607497,-108673
2024,高鐵西九龍,6087140,6272001,184861
2024,香園圍,10305426,10519838,214412
2024,港珠澳大橋,9335728,9381711,45983
2024,羅湖,26147662,25907612,-240050
2024,落馬洲,5141650,4006128,-1135522
2024,落馬洲支線,20938467,22093845,1155378
2024,文錦渡,564742,594574,29832
2024,深圳灣,12464687,12212286,-252401
2025,高鐵西九龍,7225923,7243381,17458
2025,香園圍,11899980,12033743,133763
2025,港珠澳大橋,10436653,10525764,89111
2025,羅湖,28830859,28730321,-100538
2025,落馬洲,5702686,4631600,-1071086
2025,落馬洲支線,22148481,23438689,1290208
2025,文錦渡,814348,849811,35463
2025,深圳灣,16369932,16141567,-228365
2026,高鐵西九龍,2918011,2859651,-58360
2026,香園圍,4812142,4874809,62667
2026,港珠澳大橋,4042095,4056905,14810
2026,羅湖,11017653,10890819,-126834
2026,落馬洲,2196107,1802392,-393715
2026,落馬洲支線,8371837,8825630,453793
2026,文錦渡,355536,363935,8399
2026,深圳灣,6880000,6705018,-174982
